00:18:52.267 [ApplicationImpl pooled thread 330] INFO  c.b.l.BrowserStackRunExtension - testng
00:18:52.270 [ApplicationImpl pooled thread 330] INFO  com.browserstack.utils.Helpers - null
00:18:52.270 [ApplicationImpl pooled thread 330] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:21:04.702 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
00:21:04.719 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
14:10:21.897 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - junit
14:10:21.899 [ApplicationImpl pooled thread 25] INFO  com.browserstack.utils.Helpers - null
14:10:21.900 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:15:22.209 [ApplicationImpl pooled thread 30] INFO  c.b.l.BrowserStackRunExtension - maven
14:15:22.209 [ApplicationImpl pooled thread 30] INFO  com.browserstack.utils.Helpers - null
14:15:53.365 [ApplicationImpl pooled thread 32] INFO  c.b.l.BrowserStackRunExtension - junit
14:15:53.365 [ApplicationImpl pooled thread 32] INFO  com.browserstack.utils.Helpers - null
14:15:53.367 [ApplicationImpl pooled thread 32] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:27:03.494 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - junit
14:27:03.495 [ApplicationImpl pooled thread 33] INFO  com.browserstack.utils.Helpers - null
14:27:03.495 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:52:33.420 [ApplicationImpl pooled thread 44] INFO  c.b.l.BrowserStackRunExtension - junit
14:52:33.420 [ApplicationImpl pooled thread 44] INFO  com.browserstack.utils.Helpers - null
14:52:33.420 [ApplicationImpl pooled thread 44] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:35:11.493 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - junit
15:35:11.494 [ApplicationImpl pooled thread 50] INFO  com.browserstack.utils.Helpers - null
15:35:11.494 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:42:28.224 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - junit
15:42:28.224 [ApplicationImpl pooled thread 56] INFO  com.browserstack.utils.Helpers - null
15:42:28.224 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:45:41.119 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - maven
15:45:41.119 [ApplicationImpl pooled thread 54] INFO  com.browserstack.utils.Helpers - null
15:45:58.238 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - junit
15:45:58.238 [ApplicationImpl pooled thread 61] INFO  com.browserstack.utils.Helpers - null
15:45:58.238 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:51:29.962 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - junit
15:51:29.962 [ApplicationImpl pooled thread 61] INFO  com.browserstack.utils.Helpers - null
15:51:29.963 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:53:45.802 [ApplicationImpl pooled thread 69] INFO  c.b.l.BrowserStackRunExtension - junit
15:53:45.803 [ApplicationImpl pooled thread 69] INFO  com.browserstack.utils.Helpers - null
15:53:45.803 [ApplicationImpl pooled thread 69] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:55:00.740 [ApplicationImpl pooled thread 70] INFO  c.b.l.BrowserStackRunExtension - junit
15:55:00.741 [ApplicationImpl pooled thread 70] INFO  com.browserstack.utils.Helpers - null
15:55:00.741 [ApplicationImpl pooled thread 70] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:14:11.782 [ApplicationImpl pooled thread 72] INFO  c.b.l.BrowserStackRunExtension - application
16:14:11.782 [ApplicationImpl pooled thread 72] INFO  com.browserstack.utils.Helpers - null
